cid,YEAR_RECOR,STATE_CODE,ROUTE_ID,ROUTE_NUMB,ROUTE_NAME,ROUTE_QUAL,ROUTE_SIGN,F_SYSTEM,FACILITY_T,URBAN_CODE,NHS,STRAHNET,OWNERSHIP,TRUCK,THROUGH_LA,PEAK_LANES,COUNTER_PE,SHOULDER_T,SHOULDER_W,SHOULDER_1,LANE_WIDTH,MEDIAN_TYP,MEDIAN_WID,ACCESS_CON,WIDENING_O,WIDENING_P,HOV_LANES,HOV_TYPE,SPEED_LIMI,TOLL_CHARG,TOLL_ID,TOLL_TYPE,AADT,AADT_COMBI,AADT_SINGL,PCT_PEAK_C,PCT_PEAK_S,K_FACTOR,DIR_FACTOR,IRI,PSR,SURFACE_TY,CRACKING_P,FAULTING,RUTTING,STRUCTURE_,YEAR_LAST_,YEAR_LAST1,IS_SAMPLE,SAMPLE_ID,EXPANSION_,National_R,TMC,TMC_Type,TMC_RoadNu,TMC_RoadNa,TMC_FirstN,TMC_Countr,TMC_State,TMC_County,TMC_Zip,TMC_Direct,TMC_StartL,TMC_Star_1,TMC_EndLat,TMC_EndLon,TMC_Miles,Shape_Leng,StreetImageryDate,MedianType,SecondaryAttribute,MedianWidth,RoadsideBarrier,MedianNotes,Latitude,Longitude,bldg_dist,nhd_dist,ow_dist,dev_dist,dev_int_dist,barren_dist,forest_dist,shrub_dist,grassland_dist,cultivated_dist,wetland_dist,wet_dist
1817,2016,6,SHS_044_P,44,NA,10,4,3,2,99999,1,0,1,0,2,2,2,2,8,0,12,1,0,3,D,1,0,0,65,0,NA,0,1400,108,52,1.311,0.631,17,54,83,NA,2,4.2,NA,0.111,0,NA,NA,1,SPX16X288456,1.707,6_SHS_044_P,105-08901,P1.11,CA-44,NA,Big Springs Blvd,United States,California,Shasta,96071,Eastbound,40.544557,-121.57773,40.64109,-121.472154,9.453289846,0.001709244,Dec-23,no median,NA,NA,NA,NA,40.63368384,-121.4755495,272,810,6892,0,371,3124,30,42,390,11886,1041,1041
1819,2016,6,SHS_089_P,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2100,137,107,NA,NA,NA,NA,90,NA,2,0.9,NA,0.134,0,NA,NA,0,NA,0,6_SHS_089_P,105+08779,P1.11,CA-89,NA,CR-A22/Arlington Rd,United States,California,Plumas,95934,Northbound,40.0386704,-120.983902,40.085842,-120.918909,6.121026302,0.001665814,Oct-22,no median,NA,NA,thrie beam,NA,40.07846834,-120.9346336,210,60,134,0,30,20344,30,42,1319,1732,424,134
1820,2016,6,SHS_284_P,284,NA,10,4,5,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,350,6,0,NA,NA,NA,NA,186,NA,2,22.2,NA,0.161,0,NA,NA,0,NA,0,6_SHS_284_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.001578776,Feb-09,no median,NA,NA,cable,NA,39.85812927,-120.1523437,234,120,4779,0,90,6722,175,30,127,4535,162,162
1821,2016,6,SHS_299_P,299,NA,10,3,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3250,294,138,NA,NA,NA,NA,191,NA,2,2.4,NA,0.235,0,NA,NA,0,NA,0,6_SHS_299_P,105+07579,P1.11,CA-299,NA,CA-89,United States,California,Shasta,96065,Eastbound,40.7556644,-122.0256232,40.937814,-121.6070076,33.05995706,0.001654256,Aug-24,no median,NA,NA,NA,NA,40.83006673,-121.9276335,192,0,3090,0,0,7487,30,42,85,1575,594,594
1822,2016,6,SHS_005_P,5,NA,0,0,1,2,99999,1,0,1,0,6,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,20100,5077,742,3.031,0.443,12,50,93,NA,3,25.8,0.033,NA,0,NA,NA,0,NA,0,6_SHS_005_P,105+05413,P1.3,I-5,NA,Dunsmuir Ave/Siskiyou Ave/Exit 732,United States,California,Siskiyou,96025,Northbound,41.2193288,-122.2748454,41.233503,-122.272089,1.031221098,0.00157784,Apr-21,concrete,NA,NA,thrie beam,NA,41.22811086,-122.2754024,60,0,4999,0,0,2779,67,313,150,342,661,661
1823,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,950,241,26,NA,NA,NA,NA,44,NA,2,0,NA,0.052,0,NA,NA,0,NA,0,6_SHS_395_P,105+08479,P1.11,US-395,NA,School House Rd,United States,California,Lassen,NA,Northbound,40.3819718,-120.3854254,40.798624,-120.365979,35.42444149,0.001595259,Nov-23,no median,NA,NA,cable,NA,40.37711461,-120.326207,457,234,2817,30,30,3462,3953,0,433,67,255,255
1824,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1350,128,40,NA,NA,NA,NA,93,NA,2,16,NA,0.252,0,NA,NA,0,NA,0,6_SHS_070_P,105+08891,P1.11,CA-70,NA,North Fork Feather River,United States,California,Butte,95965,Eastbound,39.794147,-121.452988,39.8998634,-121.3592962,10.18368039,0.001677378,Oct-22,no median,NA,NA,thrie beam,NA,39.89623389,-121.3595127,1544,60,108,0,30,2418,30,42,900,6214,3762,108
1825,2016,6,SHS_299_P,299,NA,10,3,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3200,217,67,NA,NA,NA,NA,135,NA,2,2.5,NA,0.385,0,NA,NA,0,NA,0,6_SHS_299_P,105+08495,P1.11,CA-299,NA,CR-A20/Bridge St/Glenburn Rd,United States,California,Shasta,96028,Eastbound,40.9385086,-121.6062304,41.00121,-121.44664,10.96462567,0.0016958,Aug-24,no median,NA,NA,cable,NA,40.98560193,-121.5175119,1127,424,426,0,0,2010,90,30,216,3120,390,390
1826,2016,6,SHS_036_P,36,NA,10,4,4,2,99998,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3700,68,76,NA,NA,NA,NA,129,NA,2,3.2,NA,0.089,0,NA,NA,0,NA,0,6_SHS_036_P,105+20674,P1.11,CA-36,NA,I-5 Bus/Main St,United States,California,Tehama,96080,Eastbound,40.221357,-122.355334,40.198513,-122.24236,6.736724184,0.001151633,Sep-22,no median,NA,NA,cable,NA,40.20891625,-122.2667204,120,67,1215,0,0,458,812,30,90,270,531,531
1828,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,5125,178,93,NA,NA,NA,NA,124,NA,2,10.5,NA,0.158,0,NA,NA,0,NA,0,6_SHS_070_P,105+08794,P1.11,CA-70,NA,West St,United States,California,Plumas,96122,Eastbound,39.784438,-120.620102,39.809777,-120.471811,9.17187092,0.00172794,Oct-22,no median,NA,NA,cable,NA,39.79720633,-120.5244203,127,0,1401,0,42,8742,150,30,323,1308,67,67
1829,2016,6,SHS_005_P,5,NA,0,0,1,2,73774,1,0,1,0,6,2,2,2,12,12,12,2,8,1,AB,0,0,0,65,0,NA,0,53000,7040,1077,1.195,0.183,9,50,67,NA,2,7.9,NA,0.282,0,NA,NA,1,SPX16X281003,3.239,6_SHS_005_P,105+05376,P1.3,I-5,NA,Riverside Ave/Exit 670,United States,California,Shasta,96007,Northbound,40.4588076,-122.2980618,40.4651926,-122.3042958,0.549459734,0.001494678,Nov-18,"vegetative, cable",grass,10-20 meters,cable,NA,40.46006737,-122.29929,218,175,300,0,0,335,1315,1266,30,60,437,300
1831,2016,6,SHS_089_P,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1625,143,137,NA,NA,NA,NA,94,NA,2,0.3,NA,0.408,0,NA,NA,0,NA,0,6_SHS_089_P,105+07519,P1.11,CA-89,NA,CA-147,United States,California,Plumas,95947,Northbound,40.139739,-120.950921,40.1719296,-121.0801418,9.042265357,0.002165676,Mar-22,no median,NA,NA,NA,NA,40.17514932,-121.0245111,2148,30,4685,0,0,13391,30,90,2467,7595,1034,1034
1832,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1350,128,40,NA,NA,NA,NA,77,NA,2,5.5,NA,0.253,0,NA,NA,0,NA,0,6_SHS_070_P,105+08893,P1.11,CA-70,NA,Unnamed Street 1,United States,California,Plumas,95984,Eastbound,40.0070404,-121.2494158,40.0195632,-121.1043044,9.840851366,0.001701815,Oct-22,no median,NA,NA,concrete,construction at street view time,40.02258246,-121.1675779,1894,42,247,0,0,404,95,30,983,10970,4395,247
1833,2016,6,SHS_036_P,36,NA,0,0,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,495,77,67,NA,NA,NA,NA,72,NA,2,0.4,NA,0.108,0,NA,NA,0,NA,0,6_SHS_036_P,105+20665,P1.11,CA-36,NA,Klondike Mine Rd,United States,California,Trinity,95552,Eastbound,40.444564,-123.495309,40.3758398,-123.3672364,10.28130399,0.001769034,May-18,no median,pull-out,NA,NA,NA,40.38077358,-123.3785396,150,127,4084,0,0,4478,30,150,216,23065,2977,2977
1834,2016,6,SHS_044_P,44,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,15750,94,133,0.054,0.076,9,68,82,NA,2,0,NA,0.107,1,NA,NA,0,NA,0,6_SHS_044_P,105-08755,P1.3,CA-44,NA,Deschutes Rd,United States,California,Shasta,96003,Eastbound,40.5590346,-122.296589,40.558842,-122.243254,2.864377395,0.000166571,Apr-19,no median,NA,NA,concrete,bridge,40.5587472,-122.2840453,85,0,1020,30,30,2173,210,192,0,1320,319,319
