cid,YEAR_RECOR,STATE_CODE,ROUTE_ID,ROUTE_NUMB,ROUTE_NAME,ROUTE_QUAL,ROUTE_SIGN,F_SYSTEM,FACILITY_T,URBAN_CODE,NHS,STRAHNET,OWNERSHIP,TRUCK,THROUGH_LA,PEAK_LANES,COUNTER_PE,SHOULDER_T,SHOULDER_W,SHOULDER_1,LANE_WIDTH,MEDIAN_TYP,MEDIAN_WID,ACCESS_CON,WIDENING_O,WIDENING_P,HOV_LANES,HOV_TYPE,SPEED_LIMI,TOLL_CHARG,TOLL_ID,TOLL_TYPE,AADT,AADT_COMBI,AADT_SINGL,PCT_PEAK_C,PCT_PEAK_S,K_FACTOR,DIR_FACTOR,IRI,PSR,SURFACE_TY,CRACKING_P,FAULTING,RUTTING,STRUCTURE_,YEAR_LAST_,YEAR_LAST1,IS_SAMPLE,SAMPLE_ID,EXPANSION_,National_R,TMC,TMC_Type,TMC_RoadNu,TMC_RoadNa,TMC_FirstN,TMC_Countr,TMC_State,TMC_County,TMC_Zip,TMC_Direct,TMC_StartL,TMC_Star_1,TMC_EndLat,TMC_EndLon,TMC_Miles,Shape_Leng,StreetImageryDate,MedianType,SecondaryAttribute,MedianWidth,RoadsideBarrier,MedianNotes,Latitude,Longitude,bldg_dist,nhd_dist,ow_dist,dev_dist,dev_int_dist,barren_dist,forest_dist,shrub_dist,grassland_dist,cultivated_dist,wetland_dist,wet_dist
1,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,880,331,308,NA,NA,NA,NA,74,NA,2,0,NA,0.155,0,NA,NA,0,NA,0,6_SHS_395_P,105+07528,P1.11,US-395,NA,CA-299/12th St/N Main St,United States,California,Modoc,96101,Northbound,40.866294,-120.460618,41.494524,-120.542586,45.66814631,0.001656135,Nov-23,no median,NA,NA,cable,both sides,41.00162834,-120.4924928,1645,570,1321,0,67,6875,1867,30,339,630,67,67
2,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,880,331,308,NA,NA,NA,NA,67,NA,2,0.5,NA,0.267,0,NA,NA,0,NA,0,6_SHS_395_P,105+08479,P1.11,US-395,NA,School House Rd,United States,California,Lassen,NA,Northbound,40.3819718,-120.3854254,40.798624,-120.365979,35.42444149,0.001548187,Nov-23,no median,NA,NA,cable,one side,40.7941311,-120.3595408,361,2880,6683,0,0,481,3583,30,212,4676,2161,2161
7,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1825,729,138,NA,NA,NA,NA,88,NA,2,21.2,NA,0.205,0,NA,NA,0,NA,0,6_SHS_036_P,105+08486,P1.11,CA-36,NA,CR-A6/Manton Rd/Long Rd,United States,California,Tehama,96080,Eastbound,40.1861116,-122.1860154,40.3136014,-122.0708826,11.24847416,0.001744428,Nov-23,no median,NA,NA,NA,NA,40.22982382,-122.165687,1269,1224,1323,0,0,2258,2601,42,30,2554,1195,1195
9,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,950,241,26,NA,NA,NA,NA,74,NA,2,0,NA,0.196,0,NA,NA,0,NA,0,6_SHS_395_P,105+08479,P1.11,US-395,NA,School House Rd,United States,California,Lassen,NA,Northbound,40.3819718,-120.3854254,40.798624,-120.365979,35.42444149,0.001663972,Nov-23,no median,NA,NA,cable,both sides,40.71948199,-120.3060922,90,636,1500,0,0,2402,433,30,395,661,30,30
10,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,6300,690,101,NA,NA,NA,NA,73,NA,2,0,NA,0.191,0,NA,NA,0,NA,0,6_SHS_395_P,105+08474,P1.11,US-395,NA,CR-A26/Garnier Rd,United States,California,Lassen,96109,Northbound,39.778325,-120.0382634,40.090829,-120.171973,25.02454263,0.000933094,Nov-23,no median,NA,NA,NA,NA,40.05017694,-120.1249559,150,228,3381,0,0,9573,2934,30,42,571,134,134
12,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,6300,690,101,NA,NA,NA,NA,73,NA,2,0,NA,0.223,0,NA,NA,0,NA,0,6_SHS_395_P,105+08474,P1.11,US-395,NA,CR-A26/Garnier Rd,United States,California,Lassen,96109,Northbound,39.778325,-120.0382634,40.090829,-120.171973,25.02454263,0.001646514,Nov-23,no median,intersection,NA,cable,4-way,40.02727747,-120.1069401,67,361,735,0,0,10086,3516,67,124,543,693,693
13,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,850,195,33,NA,NA,NA,NA,71,NA,2,0,NA,0.087,0,NA,NA,0,NA,0,6_SHS_395_P,105+07528,P1.11,US-395,NA,CA-299/12th St/N Main St,United States,California,Modoc,96101,Northbound,40.866294,-120.460618,41.494524,-120.542586,45.66814631,0.001603684,Nov-23,no median,NA,NA,cable,one side,41.05414935,-120.4740411,30,376,362,0,30,5555,283,30,192,313,301,301
16,2016,6,SHS_005_S,5,NA,10,2,1,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,40000,5445,825,NA,NA,NA,NA,85,NA,2,0,NA,0.24,0,NA,NA,0,NA,0,6_SHS_005_S,105-05366,P3.4,I-5,NA,Herbert S Miles Rest Area,United States,California,Tehama,96080,Southbound,40.289978,-122.278999,40.253688,-122.262718,2.66469361,0.001488524,Jul-24,vegetative,"sparse shrubs/trees, grass",30-40 meters,"thrie beam, cable",NA,40.27721503,-122.2721553,450,90,2292,0,30,3500,430,30,60,4837,1473,1473
17,2016,6,SHS_005_S,5,NA,10,2,1,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,40000,2922,943,NA,NA,NA,NA,43,NA,2,0.9,NA,0.157,0,NA,NA,0,NA,0,6_SHS_005_S,105-05368,P1.3,I-5,NA,Snively Rd/Exit 659,United States,California,Tehama,96022,Southbound,40.364658,-122.284097,40.33111,-122.281636,2.321131371,0.001482397,Jul-24,vegetative,"sparse shrubs/trees, grass",30-40 meters,NA,NA,40.34028765,-122.2822233,391,524,624,0,0,1170,2040,30,42,2239,1298,624
22,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,5350,690,101,NA,NA,NA,NA,58,NA,2,0,NA,0.203,0,NA,NA,0,NA,0,6_SHS_395_P,105+08476,P1.11,US-395,NA,CR-A3/Standish Buntingville Rd (Janesville),United States,California,Lassen,96121,Northbound,40.1249432,-120.247357,40.283632,-120.4901174,17.36995406,0.001623816,Nov-23,no median,NA,NA,NA,NA,40.27713941,-120.4845624,182,234,4995,30,30,2681,450,0,384,300,379,379
25,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2000,104,97,NA,NA,NA,NA,131,NA,2,3.5,NA,0.194,0,NA,NA,0,NA,0,6_SHS_036_P,105+08487,P1.11,CA-36,NA,CA-89/Chester Ski Rd,United States,California,Plumas,96020,Eastbound,40.2793982,-121.421222,40.278373,-121.2537936,10.2992119,0.001535448,Oct-23,no median,intersection,NA,NA,4-way,40.26064671,-121.3277612,1302,1073,6546,30,42,7254,0,331,849,9927,1006,1006
27,2016,6,SHS_005_S,5,NA,10,2,1,2,99998,1,0,1,0,4,2,2,2,12,12,12,2,8,1,AB,0,0,0,65,0,NA,0,37500,3252,755,0.78,0.181,9,61,79,NA,5,0,NA,NA,1,NA,NA,1,SPX16X280972,3.545,6_SHS_005_S,105-05361,P1.3,I-5,NA,Diamond Ave/Exit 647,United States,California,Tehama,96080,Southbound,40.178032,-122.2230972,40.1623332,-122.2229132,1.103691598,0.000194371,Jan-24,concrete,overpass,NA,concrete,NA,40.165484,-122.2224647,30,95,67,0,0,458,2177,2701,210,466,153,67
28,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,890,48,28,NA,NA,NA,NA,81,NA,2,0.5,NA,0.126,0,NA,NA,0,NA,0,6_SHS_036_P,105+07558,P1.11,CA-36,NA,CA-32,United States,California,Tehama,96061,Eastbound,40.362084,-121.511273,40.2793982,-121.421222,8.607324298,0.001871237,Nov-23,no median,intersection,NA,NA,4-way,40.29791827,-121.4193388,598,228,4355,0,0,14083,30,162,757,15171,450,450
31,2016,6,SHS_099_P,99,NA,10,4,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,9900,1001,183,NA,NA,NA,NA,72,NA,2,0,NA,0.073,0,NA,NA,0,NA,0,6_SHS_099_P,105+08542,P1.11,CA-99,NA,CA-36,United States,California,Tehama,96055,Northbound,40.0279584,-122.0998622,40.185702,-122.185151,12.57305694,0.001640687,Nov-23,no median,intersection,NA,NA,T,40.15932834,-122.1490102,60,618,1456,0,0,899,3776,2244,67,30,631,631
32,2016,6,SHS_395_S,395,NA,10,3,3,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,117,NA,2,7.5,NA,0.229,0,NA,NA,0,NA,0,6_SHS_395_S,105-08521,P3.14,US-395,NA,CA--NV State Border,United States,California,Lassen,96109,Southbound,39.771729,-120.039058,39.673335,-120.001209,7.485296042,0.001527767,Nov-23,vegetative,sparse shrubs/trees,40-50 meters,cable,NA,39.71930758,-120.0382143,618,391,5848,0,0,6821,4510,30,351,6879,390,390
37,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,4550,1819,58,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,6_SHS_036_P,105+08490,P1.11,CA-36,NA,CR-A13,United States,California,Plumas,NA,Eastbound,40.311547,-121.227165,40.305064,-121.143129,4.972540069,0.001847774,Nov-23,no median,NA,NA,cable,one side,40.31270195,-121.2216522,134,537,930,0,30,1575,459,67,524,997,30,30
38,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2400,335,125,NA,NA,NA,NA,68,NA,2,0,NA,0.1,0,NA,NA,0,NA,0,6_SHS_036_P,105+07560,P1.11,CA-36,NA,CA-44/Feather Lake Hwy,United States,California,Lassen,96130,Eastbound,40.315205,-120.992319,40.4111838,-120.755391,15.42108606,0.001837149,Nov-23,no median,NA,NA,NA,NA,40.33674267,-120.9264276,924,162,3955,30,30,8684,60,0,134,19342,30,30
42,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,940,47,29,NA,NA,NA,NA,99,NA,2,1.6,NA,0.168,0,NA,NA,0,NA,0,6_SHS_036_P,105+07557,P1.11,CA-36,NA,CA-172,United States,California,Tehama,96061,Eastbound,40.3663102,-121.5359602,40.362084,-121.511273,3.612974107,0.001632898,Oct-23,no median,NA,NA,NA,NA,40.35624641,-121.519069,618,212,730,0,192,9045,30,467,2071,6198,242,242
48,2016,6,SHS_099_P,99,NA,10,4,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,15100,868,190,NA,NA,NA,NA,63,NA,2,1.9,NA,0.167,0,NA,NA,0,NA,0,6_SHS_099_P,105+08540,P1.11,CA-99,NA,CR-A9/South Ave,United States,California,Tehama,95973,Northbound,39.859839,-121.956438,39.931531,-122.032735,6.434638459,0.001597067,Jan-24,no median,NA,NA,cable,both sides,39.91924668,-122.0185751,300,481,1611,0,0,677,5018,641,30,1449,351,351
55,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,1100,232,39,3.164,0.532,15,50,62,NA,2,0.2,NA,0.178,0,NA,NA,0,NA,0,6_SHS_395_P,105+07528,P1.11,US-395,NA,CA-299/12th St/N Main St,United States,California,Modoc,96101,Northbound,40.866294,-120.460618,41.494524,-120.542586,45.66814631,0.001336184,Nov-23,no median,NA,NA,NA,NA,41.2667292,-120.5037878,933,782,1758,0,30,2940,4019,218,30,1050,1355,1355
57,2016,6,SHS_089_P,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2400,47,37,NA,NA,NA,NA,205,NA,2,11.3,NA,0.117,0,NA,NA,0,NA,0,6_SHS_089_P,105+07343,P1.11,CA-89,NA,CA-70,United States,California,Plumas,96103,Northbound,39.7543686,-120.599059,39.784438,-120.620102,2.669086703,0.00156345,Oct-22,no median,NA,NA,NA,NA,39.75559508,-120.6002756,240,90,511,0,30,2701,30,60,1019,1324,242,242
59,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,2950,178,93,NA,NA,NA,NA,56,NA,2,0.4,NA,0.339,0,NA,NA,0,NA,0,6_SHS_070_P,105+08895,P1.11,CA-70,NA,Sloat Rd,United States,California,Plumas,95971,Eastbound,39.9123986,-120.8075866,39.876035,-120.729646,5.508348282,0.001731569,Oct-22,no median,NA,NA,rocks,NA,39.87426617,-120.737964,794,484,918,30,30,12522,0,150,1253,1557,967,918
65,2016,6,SHS_099_P,99,NA,10,4,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,7650,676,452,NA,NA,NA,NA,82,NA,2,16.3,NA,0.072,0,NA,NA,0,NA,0,6_SHS_099_P,105+08541,P1.11,CA-99,NA,Aramayo Way,United States,California,Tehama,96021,Northbound,39.9332204,-122.0347036,40.0279584,-122.0998622,7.705826823,0.00159839,Dec-23,no median,NA,NA,cable,both sides,39.95946862,-122.0621989,192,277,300,0,0,430,5236,992,153,30,95,95
66,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,950,241,26,NA,NA,NA,NA,92,NA,2,1.3,NA,0.177,0,NA,NA,0,NA,0,6_SHS_395_P,105+08479,P1.11,US-395,NA,School House Rd,United States,California,Lassen,NA,Northbound,40.3819718,-120.3854254,40.798624,-120.365979,35.42444149,0.00167948,Nov-23,no median,NA,NA,NA,NA,40.60542846,-120.2472744,582,150,4011,0,0,7367,3650,42,648,42,30,30
67,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,1350,90,42,NA,NA,NA,NA,93,NA,2,9.9,NA,0.141,0,NA,NA,0,NA,0,6_SHS_036_P,105+07555,P1.11,CA-36,NA,CA-172/Husky Way,United States,California,Tehama,96075,Eastbound,40.3136014,-122.0708826,40.3473432,-121.5973858,27.59806248,0.001759198,Aug-23,no median,NA,NA,cable,both sides,40.34616399,-121.8842996,362,543,4253,30,90,11986,726,0,30,11083,872,872
72,2016,6,SHS_139_P,139,NA,10,4,4,2,99999,0,0,1,0,2,2,2,2,6,0,12,1,0,3,ABC,0,0,0,65,0,NA,0,545,57,25,1.569,0.688,15,50,108,NA,2,19.1,NA,0.111,0,NA,NA,1,SPX16X303123,8.701,6_SHS_139_P,105+09007,P1.11,CA-139,NA,CR-A1/Eagle Lake Rd,United States,California,Lassen,96130,Northbound,40.54163,-120.622474,40.73907,-120.710007,15.51985919,0.001581809,Nov-23,no median,NA,NA,NA,NA,40.5939547,-120.6438321,1282,631,3060,0,30,1380,1947,30,60,1987,1861,1861
73,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3300,108,57,NA,NA,NA,NA,137,NA,2,12.5,NA,0.316,0,NA,NA,0,NA,0,6_SHS_070_P,105+07538,P1.11,CA-70,NA,CA-49,United States,California,Plumas,96105,Eastbound,39.817199,-120.3430586,39.8050692,-120.1796444,8.853194589,0.001736964,Oct-22,no median,NA,NA,cable,both sides,39.80540827,-120.1805557,228,212,2230,0,0,11185,2780,42,60,1142,30,30
76,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,5350,690,101,NA,NA,NA,NA,84,NA,2,8.5,NA,0.235,0,4/8/2016 0:00,NA,0,NA,0,6_SHS_395_P,105+08476,P1.11,US-395,NA,CR-A3/Standish Buntingville Rd (Janesville),United States,California,Lassen,96121,Northbound,40.1249432,-120.247357,40.283632,-120.4901174,17.36995406,0.001659141,Nov-23,no median,NA,NA,NA,NA,40.20367734,-120.4131388,242,108,1865,0,0,1296,404,30,277,90,824,824
79,2016,6,SHS_099_P,99,NA,10,4,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,8100,676,452,NA,NA,NA,NA,95,NA,2,0,NA,0.066,0,NA,NA,0,NA,0,6_SHS_099_P,105+08542,P1.11,CA-99,NA,CA-36,United States,California,Tehama,96055,Northbound,40.0279584,-122.0998622,40.185702,-122.185151,12.57305694,0.000840689,Dec-23,no median,NA,NA,short fence,NA,40.05525612,-122.1007308,0,845,713,0,0,408,3042,1154,42,30,270,270
82,2016,6,SHS_284_P,284,NA,10,4,5,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,350,6,0,NA,NA,NA,NA,143,NA,2,13,NA,0.224,0,NA,NA,0,NA,0,6_SHS_284_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.001576754,Feb-09,no median,intersection,NA,NA,T,39.80432622,-120.1390557,67,1032,4739,0,400,12415,2850,30,30,2340,953,953
86,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3050,128,40,NA,NA,NA,NA,97,NA,2,0,NA,0.382,0,NA,NA,0,NA,0,6_SHS_070_P,105+08793,P1.11,CA-70,NA,Bucks Lake Rd,United States,California,Plumas,95971,Eastbound,40.0386704,-120.983902,39.936754,-120.948961,10.12872012,0.00153325,Oct-22,no median,NA,NA,NA,NA,39.97199315,-120.9380937,42,300,2514,0,67,19772,30,60,108,424,150,150
87,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1825,729,138,NA,NA,NA,NA,77,NA,2,0,NA,0.156,0,NA,NA,0,NA,0,6_SHS_036_P,105+08486,P1.11,CA-36,NA,CR-A6/Manton Rd/Long Rd,United States,California,Tehama,96080,Eastbound,40.1861116,-122.1860154,40.3136014,-122.0708826,11.24847416,0.001768627,Nov-23,no median,NA,NA,NA,NA,40.25953635,-122.1395536,3301,430,2670,0,30,4403,1087,470,30,3810,1269,1269
89,2016,6,SHS_005_P,5,NA,10,2,1,2,99998,1,0,1,0,4,2,2,2,12,12,12,2,8,1,AB,0,0,0,65,0,NA,0,39250,5622,793,1.432,0.202,10,50,43,NA,2,0,NA,0.088,0,NA,NA,1,SPX16X280975,3.545,6_SHS_005_P,105+05363,P1.3,I-5,NA,Main St/Exit 651,United States,California,Tehama,96080,Northbound,40.1835118,-122.22737,40.2033152,-122.2436468,1.615968491,0.001482401,Jul-24,"vegetative, gravel",grass,10-20 meters,thrie beam,both sides,40.18894611,-122.231928,437,255,192,0,30,216,618,511,42,30,67,67
90,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,5350,690,101,NA,NA,NA,NA,67,NA,2,0.2,NA,0.208,0,NA,NA,0,NA,0,6_SHS_395_P,105+08476,P1.11,US-395,NA,CR-A3/Standish Buntingville Rd (Janesville),United States,California,Lassen,96121,Northbound,40.1249432,-120.247357,40.283632,-120.4901174,17.36995406,0.001623817,Nov-23,no median,NA,NA,NA,NA,40.27271645,-120.4806658,153,124,4802,0,0,2214,474,30,124,277,153,153
91,2016,6,SHS_005_P,5,NA,0,0,1,2,73774,1,0,1,0,6,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,54000,6626,1113,NA,NA,NA,NA,47,NA,2,0,NA,0.164,0,NA,NA,0,NA,0,6_SHS_005_P,105+05377,P1.3,I-5,NA,Knighton Rd/Exit 673,United States,California,Shasta,96002,Northbound,40.4684184,-122.3074378,40.5021302,-122.3355652,2.768207805,0.001497877,Oct-22,vegetative,grass,10-20 meters,NA,NA,40.49442122,-122.3304587,60,120,90,0,0,150,765,270,85,42,180,90
92,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1350,128,40,NA,NA,NA,NA,77,NA,2,0,NA,0.202,0,NA,NA,0,NA,0,6_SHS_070_P,105+08892,P1.11,CA-70,NA,Howells Rd,United States,California,Plumas,95915,Eastbound,39.8998634,-121.3592962,40.0070404,-121.2494158,11.85142151,0.00169154,Oct-22,no median,NA,NA,NA,NA,39.91496468,-121.3263403,277,0,234,0,30,5798,30,30,942,7284,5040,234
94,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,950,241,26,NA,NA,NA,NA,79,NA,2,0.4,NA,0.232,0,NA,NA,0,NA,0,6_SHS_395_P,105+08479,P1.11,US-395,NA,School House Rd,United States,California,Lassen,NA,Northbound,40.3819718,-120.3854254,40.798624,-120.365979,35.42444149,0.001632621,Nov-23,no median,NA,NA,NA,NA,40.77552419,-120.3453398,1724,828,5567,0,0,2402,3857,30,900,2613,201,201
95,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,880,331,308,NA,NA,NA,NA,60,NA,2,0.6,NA,0.109,0,NA,NA,0,NA,0,6_SHS_395_P,105+08480,P1.11,US-395,NA,CR-508/Juniper Ridge Rd,United States,California,Lassen,96130,Northbound,40.798624,-120.365979,40.866294,-120.460618,6.837193661,0.001583864,Nov-23,no median,NA,NA,cable,one side,40.82589229,-120.4036746,1073,671,2748,0,0,4482,2847,30,360,5528,930,930
97,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,1100,232,39,3.164,0.532,15,50,66,NA,2,7,NA,0.154,0,NA,NA,0,NA,0,6_SHS_395_P,105+07528,P1.11,US-395,NA,CA-299/12th St/N Main St,United States,California,Modoc,96101,Northbound,40.866294,-120.460618,41.494524,-120.542586,45.66814631,0.001584561,Nov-23,no median,NA,NA,NA,NA,41.4294678,-120.5464273,1090,153,150,0,0,1482,2563,90,30,90,234,150
99,2016,6,SHS_005_P,5,NA,10,2,1,2,99998,1,0,1,0,4,2,2,2,12,12,12,2,8,1,AB,0,0,0,65,0,NA,0,37500,3252,755,0.78,0.181,9,61,56,NA,3,0,0.018,NA,1,NA,NA,1,SPX16X280972,3.545,6_SHS_005_P,105+05362,P1.3,I-5,NA,CA-99/CA-36/Antelope Blvd,United States,California,Tehama,96080,Northbound,40.1616892,-122.2227098,40.1773744,-122.2223,1.095713194,0.001136557,Jan-24,"concrete, vegetative",overpass,<10 meters,concrete,NA,40.16756815,-122.2219702,162,85,60,0,0,272,1956,2526,60,330,30,30
103,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3050,128,40,NA,NA,NA,NA,108,NA,2,0,NA,0.153,0,NA,NA,0,NA,0,6_SHS_070_P,105+08793,P1.11,CA-70,NA,Bucks Lake Rd,United States,California,Plumas,95971,Eastbound,40.0386704,-120.983902,39.936754,-120.948961,10.12872012,0.000645294,Jun-12,no median,NA,NA,NA,NA,39.95785361,-120.9548393,67,30,1621,0,30,18942,30,42,816,1450,120,120
106,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,5750,88,91,NA,NA,NA,NA,70,NA,2,0,NA,0.333,0,NA,NA,0,NA,0,6_SHS_070_P,105+08894,P1.11,CA-70,NA,Squirrel Creek Rd,United States,California,Plumas,95971,Eastbound,39.936754,-120.948961,39.9123986,-120.8075866,8.334405727,0.001645484,Oct-22,no median,NA,NA,NA,NA,39.93561773,-120.885696,127,902,1019,0,30,18422,30,108,437,870,256,256
108,2016,6,SHS_005_P,5,NA,10,2,1,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,32000,5332,600,NA,NA,NA,NA,58,NA,2,0,NA,0.07,0,NA,NA,0,NA,0,6_SHS_005_P,105+05358,P1.3,I-5,NA,Gyle Rd/Exit 636,United States,California,Tehama,96035,Northbound,39.960094,-122.200079,39.996512,-122.205096,2.531962551,0.001460019,Jul-24,vegetative,grass,10-20 meters,cable,both sides,39.9927476,-122.2044862,108,313,295,0,0,630,1666,677,67,30,1727,295
113,2016,6,SHS_099_P,99,NA,10,4,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,8100,676,452,NA,NA,NA,NA,144,NA,2,0,NA,0.096,0,NA,NA,0,NA,0,6_SHS_099_P,105+08542,P1.11,CA-99,NA,CA-36,United States,California,Tehama,96055,Northbound,40.0279584,-122.0998622,40.185702,-122.185151,12.57305694,0.000513115,Dec-23,no median,intersection,NA,NA,T,40.05258268,-122.1007461,67,808,768,0,0,175,3283,1315,60,67,30,30
116,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,2950,178,93,NA,NA,NA,NA,89,NA,2,0.6,NA,0.201,0,NA,NA,0,NA,0,6_SHS_070_P,105+07537,P1.11,CA-70,NA,CA-89 (Blairsden-Graeagle),United States,California,Plumas,96103,Eastbound,39.876035,-120.729646,39.784438,-120.620102,9.266387663,0.001070344,Oct-22,no median,NA,NA,thrie beam,one side,39.82238299,-120.6648879,256,134,693,0,0,6546,30,42,1812,6766,437,437
125,2016,6,SHS_089_P,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2400,47,37,NA,NA,NA,NA,87,NA,2,10.4,NA,0.232,0,NA,NA,0,NA,0,6_SHS_089_P,105+08298,P1.11,CA-89,NA,CR-A15/Portola-McLears Rd,United States,California,Sierra,96124,Northbound,39.6633284,-120.4327508,39.733156,-120.557501,9.45259391,0.001972645,Oct-22,no median,NA,NA,NA,NA,39.71370651,-120.5339052,85,30,4649,0,0,7349,30,67,810,5639,691,691
