"cid","YEAR_RECOR","STATE_CODE","ROUTE_ID","ROUTE_NUMB","ROUTE_NAME","ROUTE_QUAL","ROUTE_SIGN","F_SYSTEM","FACILITY_T","URBAN_CODE","NHS","STRAHNET","OWNERSHIP","TRUCK","THROUGH_LA","PEAK_LANES","COUNTER_PE","SHOULDER_T","SHOULDER_W","SHOULDER_1","LANE_WIDTH","MEDIAN_TYP","MEDIAN_WID","ACCESS_CON","WIDENING_O","WIDENING_P","HOV_LANES","HOV_TYPE","SPEED_LIMI","TOLL_CHARG","TOLL_ID","TOLL_TYPE","AADT","AADT_COMBI","AADT_SINGL","PCT_PEAK_C","PCT_PEAK_S","K_FACTOR","DIR_FACTOR","IRI","PSR","SURFACE_TY","CRACKING_P","FAULTING","RUTTING","STRUCTURE_","YEAR_LAST_","YEAR_LAST1","IS_SAMPLE","SAMPLE_ID","EXPANSION_","National_R","TMC","TMC_Type","TMC_RoadNu","TMC_RoadNa","TMC_FirstN","TMC_Countr","TMC_State","TMC_County","TMC_Zip","TMC_Direct","TMC_StartL","TMC_Star_1","TMC_EndLat","TMC_EndLon","TMC_Miles","Shape_Leng","StreetImageryDate","MedianType","SecondaryAttribute","MedianWidth","RoadsideBarrier","MedianNotes","Latitude","Longitude","bldg_dist","nhd_dist","11_dist","21222324_dist","222324_dist","31_dist","414243_dist","5152_dist","71_dist","8182_dist","9095_dist","119095_dist"
759,2016,6,"SHS_005_P",5,NA,10,2,1,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,30500,5319,629,NA,NA,NA,NA,67,NA,2,0,NA,0.112,0,NA,NA,0,NA,0,"6_SHS_005_P","105+05359","P1.3","I-5",NA,"Flores Ave/Exit 642","United States","California","Tehama",96035,"Northbound",40.0028288,-122.206103,40.079945,-122.216453,5.35900176208,0.00145294350976,"07/2024","vegetative","grass","10-20 meters","cable",NA,40.04065891108,-122.212299412788,484,437,811,0,0,371,7026,3537,30,60,360,360
760,2016,6,"SHS_299_P",299,NA,10,3,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3200,217,67,NA,NA,NA,NA,60,NA,2,0,NA,0.09,0,NA,NA,0,NA,0,"6_SHS_299_P","105+08495","P1.11","CA-299",NA,"CR-A20/Bridge St/Glenburn Rd","United States","California","Shasta",96028,"Eastbound",40.9385086,-121.6062304,41.00121,-121.44664,10.9646256741,0.00171295522946,"11/2023","no median",NA,NA,NA,NA,40.9716019206921,-121.565268012309,1189,841,845,0,0,1110,60,30,361,1034,870,845
761,2016,6,"SHS_005_P",5,NA,10,2,1,2,99999,1,0,1,0,4,2,1,2,5,0,12,7,16,1,"ABC",0,0,0,65,0,NA,0,6400,2559,603,4.798,1.131,12,52,73,NA,5,5.5,NA,NA,0,NA,NA,1,"SPX16X281179",1.74,"6_SHS_005_P","105+05432","P1.3","I-5",NA,"CA-96/Klamathon Rd/Exit 786","United States","California","Siskiyou",96097,"Northbound",41.74191,-122.62454,41.852111,-122.569861,9.41211780314,0.00156337175711,"05/2018","concrete",NA,NA,NA,NA,41.7944005657336,-122.587543408901,351,540,3598,0,0,67,60,30,95,390,1140,1140
762,2016,6,"SHS_003_P",3,NA,10,4,4,2,99999,0,0,1,0,2,2,4,2,2,0,12,1,0,3,"AB",0,0,0,65,0,NA,0,200,5,4,0.425,0.34,17,50,108,NA,2,35.5,NA,0.144,0,NA,NA,1,"SPX16X279021",1.493,"6_SHS_003_P","105+20689","P1.11","CA-3",NA,"Gazelle Callahan Rd","United States","California","Siskiyou",96014,"Northbound",41.2756798,-122.6976088,41.31018,-122.7688174,6.53815265394,0.00163949791767,"08/2007","no median",NA,NA,NA,NA,41.2864310130809,-122.710004118895,1142,182,1831,0,0,457,30,85,2100,4569,1315,1315
763,2016,6,"SHS_089_P",89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1625,143,137,NA,NA,NA,NA,108,NA,2,3.7,NA,0.368,0,NA,NA,0,NA,0,"6_SHS_089_P","105+07519","P1.11","CA-89",NA,"CA-147","United States","California","Plumas",95947,"Northbound",40.139739,-120.950921,40.1719296,-121.0801418,9.04226535652,0.00216567635252,"03/2022","no median",NA,NA,NA,NA,40.172619373885,-120.975308296641,1332,42,5192,0,30,14160,30,134,424,4223,806,806
764,2016,6,"SHS_139_P",139,NA,10,4,4,2,99999,0,0,1,0,2,2,2,2,6,0,12,1,0,3,"ABC",0,0,0,65,0,NA,0,545,57,25,1.569,0.688,15,50,157,NA,2,1,NA,0.16,0,NA,NA,1,"SPX16X303123",8.701,"6_SHS_139_P","105+09007","P1.11","CA-139",NA,"CR-A1/Eagle Lake Rd","United States","California","Lassen",96130,"Northbound",40.54163,-120.622474,40.73907,-120.710007,15.5198591928,0.00158180935105,"11/2023","no median",NA,NA,NA,NA,40.7116808692767,-120.675974598649,2898,466,90,0,0,3730,641,30,67,7444,30,30
765,2016,6,"SHS_036_P",36,NA,10,4,3,2,99998,1,0,1,0,4,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,13400,645,377,NA,NA,NA,NA,103,NA,2,50.6,NA,0.181,0,NA,NA,0,NA,0,"6_SHS_036_P","105+08485","P1.11","CA-36",NA,"CA-99E/CA-99","United States","California","Tehama",96080,"Eastbound",40.1812312,-122.2238044,40.1856828,-122.186042,2.08215829761,0.00109589320825,"12/2023","no median",NA,NA,NA,"hedge on roadside",40.1856519577717,-122.190815531811,60,300,2021,0,0,150,3027,2995,182,67,540,540
766,2016,6,"SHS_089_P",89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2100,137,107,NA,NA,NA,NA,244,NA,2,4,NA,0.426,0,NA,NA,0,NA,0,"6_SHS_089_P","105+08779","P1.11","CA-89",NA,"CR-A22/Arlington Rd","United States","California","Plumas",95934,"Northbound",40.0386704,-120.983902,40.085842,-120.918909,6.12102630164,0.00168675279795,"03/2022","no median",NA,NA,NA,NA,40.0532020461376,-120.972272368875,484,42,648,0,42,16514,30,30,1142,5961,1291,648
767,2016,6,"SHS_044_P",44,NA,10,4,3,2,99999,1,0,1,0,2,3,2,2,6,0,12,1,0,3,"ABC",0,0,0,65,0,NA,0,1800,108,52,0.9,0.433,15,56,72,NA,2,0,NA,0.067,0,NA,NA,1,"SPX16X288472",1.707,"6_SHS_044_P","105-08900","P1.11","CA-44",NA,"Forest Route 33N32","United States","California","Shasta",96071,"Eastbound",40.68067,-121.424609,40.693942,-121.384558,4.21026698067,0.00176953584088,"08/2023","no median",NA,NA,NA,NA,40.7003180674249,-121.39355419567,1100,150,5948,0,0,3437,30,162,828,6630,582,582
768,2016,6,"SHS_005_S",5,NA,0,0,1,2,99999,1,0,1,0,6,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,19200,5017,748,NA,NA,NA,NA,35,NA,2,0,NA,0.052,0,NA,NA,0,NA,0,"6_SHS_005_S","105-05406","P1.3","I-5",NA,"Sweetbrier Ave/Exit 723","United States","California","Shasta",96051,"Southbound",41.1464816,-122.3174616,41.1257472,-122.3243772,1.49559650103,0.00156465970337,"01/2024","concrete",NA,NA,"thrie beam",NA,41.1295921242772,-122.322673586117,108,192,277,0,0,3967,30,335,2469,5941,270,270
